"","Gene ID","Gene Name","A2058","A375","C32","Malme3M","SKMEL28","SKMEL5","WM2664"
"197","ENSG00000008086","CDKL5",2,3,3,7,3,4,6
"198","ENSG00000008118","CAMK1G",0.2,0.1,0,2,0,0,0.7
"199","ENSG00000008128","CDK11A",5,5,5,2,5,3,2
"200","ENSG00000008130","NADK",56,40,45,54,79,40,30
"201","ENSG00000008196","TFAP2B",0,305,0.6,0,0,0,14
"202","ENSG00000008197","TFAP2D",0,0,0.1,0,0,0,0
"203","ENSG00000008226","DLEC1",0,0.1,0.1,0.2,0.1,0,0
"204","ENSG00000008256","CYTH3",58,24,54,212,173,161,134
"205","ENSG00000008277","ADAM22",1,9,3,0.3,2,4,18
"206","ENSG00000008282","SYPL1",238,151,805,362,229,184,272
"207","ENSG00000008283","CYB561",36,41,20,20,6,1,16
"208","ENSG00000008294","SPAG9",69,81,67,122,100,97,51
"209","ENSG00000008300","CELSR3",4,7,5,2,1,5,16
"210","ENSG00000008311","AASS",19,34,23,19,23,10,29
"211","ENSG00000008323","PLEKHG6",0.5,2,0.5,0.7,0,0.2,0.1
"212","ENSG00000008324","SS18L2",51,70,29,38,44,30,42
"213","ENSG00000008382","MPND",29,12,15,17,22,15,29
"214","ENSG00000008394","MGST1",77,9,0.2,0.3,70,4,0.5
"215","ENSG00000008405","CRY1",19,18,27,18,21,16,19
"216","ENSG00000008438","PGLYRP1",0.2,0.4,0,1,0.4,1,1
"217","ENSG00000008441","NFIX",56,71,80,32,36,27,67
"218","ENSG00000008513","ST3GAL1",17,63,46,16,27,63,21
"219","ENSG00000008516","MMP25",0.6,0.9,0.1,0.7,0.2,0.5,0.7
"220","ENSG00000008517","IL32",0.8,0.4,0.2,0.6,0.2,0.1,0.3
"221","ENSG00000008710","PKD1",12,10,15,30,11,6,7
"222","ENSG00000008735","MAPK8IP2",8,0.1,7,38,14,15,15
"223","ENSG00000008838","MED24",45,34,21,46,41,31,35
"224","ENSG00000008853","RHOBTB2",30,18,11,48,23,17,19
"225","ENSG00000008869","HEATR5B",20,32,20,24,34,33,25
"226","ENSG00000008952","SEC62",67,57,64,73,142,67,82
"227","ENSG00000008988","RPS20",564,776,377,312,390,657,373
"228","ENSG00000009307","CSDE1",423,639,443,227,894,294,706
"229","ENSG00000009335","UBE3C",101,99,227,147,65,92,122
"230","ENSG00000009413","REV3L",43,20,38,22,45,48,95
"231","ENSG00000009694","TENM1",0.5,6,0,0.1,0.1,2,11
"232","ENSG00000009724","MASP2",1,0.5,2,0.9,1,0.7,1
"233","ENSG00000009765","IYD",0.1,0.1,0.1,0,0.1,0,0.1
"234","ENSG00000009780","FAM76A",6,8,11,5,11,6,9
"235","ENSG00000009790","TRAF3IP3",0.2,0.1,0.5,0.3,0.1,0.1,0.1
"236","ENSG00000009830","POMT2",23,11,20,20,10,18,15
"237","ENSG00000009844","VTA1",59,55,40,29,54,30,45
"238","ENSG00000009950","MLXIPL",0.2,0.2,0.1,0.4,0,0.6,0.5
"239","ENSG00000009954","BAZ1B",234,157,267,228,65,107,185
"240","ENSG00000010017","RANBP9",131,77,83,108,112,80,73
"241","ENSG00000010030","ETV7",0.3,0.2,0.6,3,0.4,0.3,1
"242","ENSG00000010072","SPRTN",19,21,11,15,13,11,22
"243","ENSG00000010165","METTL13",117,153,75,86,63,59,45
"244","ENSG00000010219","DYRK4",5,6,5,7,3,8,6
"245","ENSG00000010244","ZNF207",52,55,35,37,38,44,40
"246","ENSG00000010256","UQCRC1",315,159,180,204,199,146,355
"247","ENSG00000010270","STARD3NL",51,46,52,37,71,45,50
"248","ENSG00000010278","CD9",28,155,183,262,121,85,136
"249","ENSG00000010282","HHATL",0,0,0,0.2,0,0,0.4
"250","ENSG00000010292","NCAPD2",184,210,143,70,100,54,100
"251","ENSG00000010295","IFFO1",16,15,28,23,19,18,29
"252","ENSG00000010310","GIPR",2,1,0,1,0.4,1,0.9
"253","ENSG00000010318","PHF7",6,6,4,6,6,6,8
"254","ENSG00000010319","SEMA3G",0.8,5,0,46,0,2,7
"255","ENSG00000010322","NISCH",20,20,25,29,17,22,23
"256","ENSG00000010327","STAB1",0,0.1,0,0.2,0,0,0
"257","ENSG00000010361","FUZ",39,62,13,22,27,15,40
"258","ENSG00000010379","SLC6A13",0.3,0.1,0.1,0,0,0.1,0
"259","ENSG00000010404","IDS",10,56,12,55,45,26,22
"260","ENSG00000010438","PRSS3",0.2,6,0,0,0,0,0
"261","ENSG00000010539","ZNF200",8,16,5,10,9,5,8
"262","ENSG00000010610","CD4",0.2,0.6,0.1,2,0.1,0.1,1
"263","ENSG00000010626","LRRC23",3,13,4,13,12,9,6
"264","ENSG00000010671","BTK",0.1,0,0,0.6,0.2,1,2
"265","ENSG00000010704","HFE",39,9,3,25,9,21,22
"266","ENSG00000010803","SCMH1",33,26,20,21,15,20,35
"267","ENSG00000010810","FYN",51,40,60,60,115,33,105
"268","ENSG00000010818","HIVEP2",17,16,21,26,20,15,12
"269","ENSG00000010932","FMO1",0.3,0.1,0.1,0.1,0,0.1,0.2
"270","ENSG00000011007","ELOA",95,142,102,40,143,56,86
"271","ENSG00000011009","LYPLA2",119,197,71,66,152,66,85
"272","ENSG00000011021","CLCN6",15,12,8,12,16,13,18
"273","ENSG00000011028","MRC2",55,62,2,2,3,18,173
"274","ENSG00000011052","NME1-NME2",2,1,8,0.7,0.6,0.4,0.7
"275","ENSG00000011105","TSPAN9",13,12,20,84,18,20,17
"276","ENSG00000011114","BTBD7",20,13,17,17,11,17,20
"277","ENSG00000011132","APBA3",6,6,3,6,6,4,10
"278","ENSG00000011143","MKS1",15,16,9,17,8,18,13
"279","ENSG00000011198","ABHD5",26,32,41,25,24,16,28
"280","ENSG00000011201","ANOS1",0,0,0,0,1,0,0
"281","ENSG00000011243","AKAP8L",32,28,27,22,25,17,20
"282","ENSG00000011258","MBTD1",17,19,9,11,10,15,14
"283","ENSG00000011260","UTP18",145,121,95,104,98,99,116
"284","ENSG00000011275","RNF216",59,40,31,46,33,49,53
"285","ENSG00000011295","TTC19",40,56,68,47,57,27,84
"286","ENSG00000011304","PTBP1",275,213,181,102,228,98,165
"287","ENSG00000011332","DPF1",4,5,4,1,5,1,2
"288","ENSG00000011347","SYT7",0.1,0.3,0.3,0.6,0.2,1,0
"289","ENSG00000011376","LARS2",51,39,36,34,34,34,36
"290","ENSG00000011405","PIK3C2A",51,38,77,29,85,49,44
"291","ENSG00000011422","PLAUR",25,45,3,69,52,1,25
"292","ENSG00000011426","ANLN",271,141,209,85,238,31,222
"293","ENSG00000011451","WIZ",45,36,17,21,25,11,27
"294","ENSG00000011454","RABGAP1",33,34,28,26,24,28,25
"295","ENSG00000011465","DCN",1,0.5,0.3,1,0.4,8,0.2
"296","ENSG00000011478","QPCTL",41,32,33,66,110,25,47
"297","ENSG00000011485","PPP5C",55,48,43,37,54,24,47
"298","ENSG00000011523","CEP68",10,13,7,23,12,25,17
"299","ENSG00000011566","MAP4K3",28,27,39,36,78,38,39
"300","ENSG00000011590","ZBTB32",0.3,1,0.2,1,0.2,0.1,0.1
"301","ENSG00000011600","TYROBP",0,0,0,0.2,0,0,0.2
"302","ENSG00000011638","TMEM159",20,8,29,17,56,30,26
"303","ENSG00000011677","GABRA3",6,19,0.1,0.8,7,9,15
"304","ENSG00000012048","BRCA1",65,51,22,41,50,25,42
"305","ENSG00000012061","ERCC1",42,147,39,35,67,31,93
"306","ENSG00000012124","CD22",2,5,2,4,6,5,99
"307","ENSG00000012171","SEMA3B",204,156,124,663,3,0.6,118
"308","ENSG00000012174","MBTPS2",28,45,12,50,35,53,44
"309","ENSG00000012211","PRICKLE3",12,11,6,17,10,30,10
"310","ENSG00000012223","LTF",0,0,0,0.2,0.2,0.1,0
"311","ENSG00000012232","EXTL3",30,20,11,25,18,22,30
"312","ENSG00000012504","NR1H4",0.3,0,0.5,0,0,0.1,0.1
"313","ENSG00000012660","ELOVL5",231,149,259,184,259,87,194
"314","ENSG00000012817","KDM5D",17,0,23,16,0,0.1,0
"315","ENSG00000012822","CALCOCO1",11,29,9,12,12,27,19
"316","ENSG00000012963","UBR7",112,92,83,49,65,25,95
"317","ENSG00000012983","MAP4K5",40,32,38,35,38,29,35
"318","ENSG00000013016","EHD3",10,84,16,39,0.8,11,12
"319","ENSG00000013275","PSMC4",229,341,115,112,302,123,163
"320","ENSG00000013288","MAN2B2",18,13,19,24,20,26,29
"321","ENSG00000013293","SLC7A14",0.1,0.1,0.2,0.1,0,0.1,0.2
"322","ENSG00000013297","CLDN11",0.5,0.3,0.5,3,0.5,0.3,45
"323","ENSG00000013306","SLC25A39",129,77,72,99,86,82,95
"324","ENSG00000013364","MVP",26,62,78,36,72,35,54
"325","ENSG00000013374","NUB1",49,77,131,89,20,60,57
"326","ENSG00000013375","PGM3",34,27,33,28,38,23,50
"327","ENSG00000013392","RWDD2A",7,8,5,9,5,10,11
"328","ENSG00000013441","CLK1",26,26,33,16,28,20,47
"329","ENSG00000013503","POLR3B",18,34,18,18,19,16,16
"330","ENSG00000013523","ANGEL1",13,14,12,40,13,30,39
"331","ENSG00000013561","RNF14",62,78,90,54,97,93,62
"332","ENSG00000013563","DNASE1L1",15,18,6,37,14,22,23
"333","ENSG00000013573","DDX11",24,20,18,14,27,16,11
"334","ENSG00000013583","HEBP1",37,16,14,37,42,29,23
"335","ENSG00000013588","GPRC5A",57,218,31,20,0.6,7,13
"336","ENSG00000013619","MAMLD1",8,10,9,11,7,1,14
"337","ENSG00000013725","CD6",0.1,0.1,0.3,0.1,0.1,0.2,0.1
"338","ENSG00000013810","TACC3",92,53,57,22,38,11,47
"339","ENSG00000014123","UFL1",39,28,63,54,56,49,55
"340","ENSG00000014138","POLA2",48,39,22,16,29,7,44
"341","ENSG00000014164","ZC3H3",23,15,23,13,13,22,13
"342","ENSG00000014216","CAPN1",67,48,51,27,23,39,72
"343","ENSG00000014257","ACPP",4,34,0.3,1,0.6,0,0.7
"344","ENSG00000014641","MDH1",191,192,171,247,322,261,269
"345","ENSG00000014824","SLC30A9",59,90,37,48,46,49,51
"346","ENSG00000014914","MTMR11",8,4,9,8,2,2,9
"347","ENSG00000014919","COX15",61,92,51,32,47,44,46
"348","ENSG00000015133","CCDC88C",0.4,0.6,0.1,14,0.3,2,0.1
"349","ENSG00000015153","YAF2",5,8,5,4,7,5,4
"350","ENSG00000015171","ZMYND11",63,58,43,56,49,41,64
"351","ENSG00000015285","WAS",0.2,0.4,0.5,1,0.1,0.7,0.4
"352","ENSG00000015413","DPEP1",0,0,0,35,0,1,0.8
"353","ENSG00000015475","BID",47,18,10,16,32,21,25
"354","ENSG00000015479","MATR3",2,2,3,0.8,1,1,2
"355","ENSG00000015520","NPC1L1",0,0.1,0,0,0,0,0
"356","ENSG00000015532","XYLT2",25,24,12,28,26,31,20
"357","ENSG00000015568","RGPD5",0.1,0.1,0.1,0.1,0.1,0,0.1
"358","ENSG00000015592","STMN4",0.1,0,0.1,0,0,0,0.1
"359","ENSG00000015676","NUDCD3",43,38,21,34,46,38,47
"360","ENSG00000016082","ISL1",0,9,1,0.1,0.3,4,0.1
"361","ENSG00000016391","CHDH",2,0,0.1,24,0.1,0.1,0
"362","ENSG00000016490","CLCA1",0.1,0,0.1,0,0,0,0.1
"363","ENSG00000016864","GLT8D1",54,81,37,83,44,53,80
"364","ENSG00000017260","ATP2C1",84,69,75,109,139,63,73
"365","ENSG00000017427","IGF1",0,0,0.1,0,0,0.7,0
"366","ENSG00000017483","SLC38A5",0,0.1,0.2,0.2,0.1,0.1,0.1
"367","ENSG00000017797","RALBP1",80,58,70,54,70,59,62
"368","ENSG00000018189","RUFY3",10,5,14,17,22,11,13
"369","ENSG00000018236","CNTN1",21,14,1,3,10,79,0
"370","ENSG00000018280","SLC11A1",0.2,0.2,0.6,0.2,0.2,0.2,0.4
"371","ENSG00000018408","WWTR1",217,693,174,185,314,151,179
"372","ENSG00000018510","AGPS",117,85,58,57,80,54,82
"373","ENSG00000018607","ZNF806",0,0.6,0,0.1,0.1,0.1,0
"374","ENSG00000018610","CXorf56",24,44,31,30,31,26,36
"375","ENSG00000018625","ATP1A2",0.1,0.1,0.2,0.2,0.1,0,0.1
"376","ENSG00000018699","TTC27",28,42,30,26,40,35,26
"377","ENSG00000018869","ZNF582",2,4,0,0.4,1,0.8,1
"378","ENSG00000019102","VSIG2",0.1,4,1,0.5,0.1,0.1,0.8
"379","ENSG00000019144","PHLDB1",19,22,28,11,5,8,15
"380","ENSG00000019186","CYP24A1",0,0.3,0.5,0,0.1,0,0
